Id,Postcode,Latitude,Longitude
386,OX28 6NE,51.785444,-1.487934
387,OX14 1GG,51.680624,-1.28696
388,TN40 2JG,50.847112,0.490934
389,DY1 4AS,52.514257,-2.082623
390,E17 6HL,51.587968,-0.038376
391,B44 8NE,52.539009,-1.897605
392,DY5 1RG,52.47992,-2.119236
393,B74 2NW,52.567579,-1.821706
394,B4 7PS,52.48321,-1.889341
395,HP10 9HE,51.606859,-0.723393
396,HP7 9HN,51.668961,-0.58945
397,HP21 8PD,51.813857,-0.822655
398,LE14 2LJ,52.738134,-1.007597
399,KT13 8TT,51.362672,-0.465522
400,SO42 7ZE,50.821457,-1.569931
401,BN1 9PW,50.858017,-0.091234
402,TA1 5AX,51.016061,-3.118879
403,TA6 4PZ,51.13112,-2.987131
404,LN4 2BA,53.166682,-0.415441
405,LN4 3EA,53.14002,-0.404118
406,LN4 1LH,53.195831,-0.467988
407,BD7 1AY,53.791677,-1.768111
408,RG12 1DJ,51.416324,-0.744655
409,PE11 1WD,52.787517,-0.150962
410,PE21 6JF,52.973254,-0.014959
411,BL3 5BU,53.574842,-2.43592
412,BL3 5BG,53.574721,-2.437096
413,PL31 1DD,50.459758,-4.711223
414,NG8 5GY,52.968483,-1.191032
415,NG7 7GB,52.975276,-1.17092
416,FY1 4ES,53.812937,-3.042778
417,FY2 0HB,53.859387,-3.026295
418,BB2 1LH,53.748575,-2.489745
419,HU17 8QG,53.848058,-0.503445
420,LN2 2LG,53.268445,-0.529737
421,DL14 6JZ,54.65052,-1.69652
422,B4 7QD,52.483091,-1.887456
423,E3 3QP,51.518511,-0.018013
424,DH1 1SG,54.780132,-1.573146
425,B79 7HL,52.633754,-1.691434
426,ST17 4AA,52.80275,-2.116185
427,ST5 1HN,53.01283,-2.219745
428,ST1 5HQ,53.026958,-2.178561
429,W5 5EW,51.510291,-0.306835
430,W14 9BL,51.491865,-0.214029
431,B20 2HL,52.514049,-1.92902
432,CV11 4BE,52.52217,-1.461657
433,S17 3QU,53.318585,-1.536701
434,CT2 8QA,51.278905,1.063243
435,DA11 0RX,51.441761,0.364895
436,CT9 1PF,51.387053,1.38361
437,TN24 8BJ,51.145588,0.885523
438,ME14 1LH,51.275824,0.519996
439,SW10 0QS,51.482012,-0.185989
440,W10 5QQ,51.522875,-0.208419
441,RG19 4LL,51.401737,-1.248681
442,LA9 5AY,54.318001,-2.747034
443,DE13 8AZ,52.764921,-1.72012
444,DN17 1DS,53.57456,-0.668613
445,SO19 7TB,50.908661,-1.357172
446,PO30 5TA,50.706435,-1.296665
447,NG18 1TL,53.148291,-1.202161
448,NG17 5JA,53.12269,-1.253472
449,HU3 4DD,53.732115,-0.362077
450,HU1 3DG,53.746393,-0.331867
451,TN10 4PU,51.214203,0.282319
452,L20 7EW,53.445072,-2.989404
453,HX3 0BT,53.710989,-1.861747
454,OL12 6RY,53.616729,-2.162633
455,M24 6XH,53.569124,-2.188708
456,DL14 7JZ,54.660286,-1.671376
457,WV4 4NT,52.565481,-2.177692
458,BA12 9DR,51.202342,-2.163978
459,DT2 8PY,50.71831,-2.404574
460,ME16 8AQ,51.270386,0.49465
461,ME7 1FN,51.393598,0.541529
462,TS2 1AD,54.579944,-1.226811
463,SK11 8LF,53.251493,-2.138236
464,LU2 7EW,51.903716,-0.414304
465,M12 6BA,53.469754,-2.217356
466,M20 2PG,53.421979,-2.250111
467,M22 9UH,53.386597,-2.255632
468,M9 4AF,53.514029,-2.212438
469,M1 3HB,53.476678,-2.234824
470,M23 0DD,53.409862,-2.270694
471,M11 2WH,53.471845,-2.187628
472,LE11 3BT,52.767512,-1.220321
473,S5 6SG,53.41846,-1.45399
474,CB2 8PX,52.178576,0.132794
475,BR2 8HE,51.38666,0.034796
476,NG24 1PB,53.076017,-0.80391
477,LN2 5HQ,53.231358,-0.532657
478,DN21 2LG,53.40249,-0.779703
479,LN1 3SP,53.247635,-0.538604
480,E10 6EQ,51.576066,-0.002895
481,LE1 3WL,52.641029,-1.133131
482,LE1 3WA,52.643993,-1.127936
483,LE2 7LW,52.622482,-1.133165
484,LS2 7QT,53.802946,-1.535223
485,LS3 1AA,53.800447,-1.559012
486,LS10 1JY,53.787496,-1.535196
487,LS2 8BL,53.802261,-1.546299
488,B79 8AA,52.639802,-1.693807
489,LA1 2TY,54.06264,-2.826276
490,SW4 9BL,51.458706,-0.141435
491,CA14 4JN,54.606042,-3.531755
492,TQ7 1PL,50.28079,-3.783148
493,CV21 3SD,52.37394,-1.238967
494,NN17 1SE,52.4873,-0.698661
495,PO6 2SA,50.837367,-1.062222
496,SG12 9JF,51.80769,-0.031549
497,EN10 6AE,51.724971,-0.024867
498,LS25 1LJ,53.787212,-1.391387
499,LA14 2PJ,54.116534,-3.242096
500,DN32 7PF,53.569442,-0.065282
501,DN32 7AJ,53.570744,-0.074043
502,DN31 1HB,53.565544,-0.084055
503,DN36 4YB,53.522095,-0.067637
504,DN32 7AP,53.570379,-0.073727
505,UB2 5HF,51.499625,-0.386514
506,GU14 6SB,51.285554,-0.751747
507,PO14 1NH,50.851085,-1.199216
508,EX2 7LB,50.716462,-3.471881
509,EX4 4JS,50.728223,-3.538392
510,EX4 3SR,50.726756,-3.535014
511,EX1 3PZ,50.730458,-3.469727
512,CA14 4JW,54.612957,-3.5215
513,DY3 2JH,52.525718,-2.129805
514,SO50 5FS,50.961591,-1.358838
515,TN34 1BA,50.857944,0.578137
516,BN7 2XH,50.870098,0.015572
517,BN21 2UF,50.788909,0.272124
518,RH1 2JX,51.253587,-0.162874
519,HU17 0GH,53.840733,-0.421457
520,YO16 7JW,54.091833,-0.196888
521,NR31 7BQ,52.578564,1.719972
522,E8 4DG,51.537852,-0.076224
523,CT10 1PN,51.354162,1.435027
524,CT1 3AJ,51.276098,1.090619
525,CT20 2TZ,51.082423,1.165981
526,ME12 1HL,51.442008,0.758131
